,LocalGov,StatDiv,ClaimNb,AccNb,KillInjNb,Pop,PopDens,A_plus_B
1,Ashfield,D1,1103,2304,920,124850,0.499001,2023
2,Auburn,D1,1939,2660,1465,143500,0.148379,3404
3,Bankstown,D1,4339,7381,3864,470700,0.205407,8203
4,Baulkhamhills,D1,1491,3217,1554,311300,0.025879,3045
5,Blacktown,D1,3801,6655,4175,584900,0.081222,7976
6,Botany,D1,387,2013,854,106350,0.178143,1241
7,Burwood,D1,1299,1888,946,88750,0.413285,2245
8,Camden,D1,326,510,353,56900,0.009404,679
9,Campbelltown,D1,1789,2872,1846,354050,0.03785,3635
10,Canterbury,D1,3310,4991,2497,396100,0.392816,5807
11,Concord,D1,443,1182,497,71200,0.204721,940
12,Drummoyne,D1,673,1340,517,95950,0.39755,1190
13,Fairfield,D1,6524,6977,3332,457150,0.150497,9856
14,Holroyd,D1,1217,3672,1526,243900,0.202343,2743
15,Hornsby,D1,1526,4459,2044,359450,0.025476,3570
16,Huntershill,D1,109,596,235,38000,0.22174,344
17,Hurstville,D1,1279,2276,953,197800,0.288277,2232
18,Kogarah,D1,852,1945,845,141800,0.307531,1697
19,Ku-ring-gai,D1,1285,3081,1181,314150,0.122736,2466
20,Lanecove,D1,417,1078,432,89300,0.283117,849
21,Leichhardt,D1,1333,3001,1327,176000,0.464087,2660
22,Liverpool,D1,3231,4638,2843,286000,0.031331,6074
23,Manly,D1,493,1045,483,111350,0.258296,976
24,Marrickville,D1,2201,4159,1933,254500,0.524696,4134
25,Mosman,D1,464,918,364,81300,0.315388,828
26,Northsydney,D1,773,2476,1053,153800,0.473446,1826
27,Parramatta,D1,4746,7245,3089,399900,0.218914,7835
28,Penrith,D1,2596,4491,2579,401050,0.033051,5175
29,Randwick,D1,1724,3826,1800,356250,0.324929,3524
30,Rockdale,D1,2132,3683,1538,259050,0.30434,3670
31,Ryde,D1,1715,3655,1633,275600,0.22715,3348
32,Strathfield,D1,879,1615,675,79850,0.18927,1554
33,Sutherland,D1,2467,5133,2552,538100,0.053949,5019
34,Sydney,D1,4631,9416,4201,243450,0.333476,8832
35,Warringah,D1,1856,4983,2505,540500,0.075389,4361
36,Waverley,D1,911,1720,805,188600,0.687608,1716
37,Willoughby,D1,966,2472,895,160350,0.237332,1861
38,Woollahra,D1,789,1619,778,161450,0.43451,1567
39,Bluemountains,D2,1115,1913,1335,191950,0.004456,2450
40,Gosford,D2,1716,3487,2143,327600,0.011485,3859
41,Hawkesbury,D2,841,1810,1257,129250,0.001553,2098
42,Wollondilly,D2,385,781,619,72250,0.000943,1004
43,Wyong,D2,1326,2338,1542,246550,0.011036,2868
44,Cessnock,D3,450,1073,789,126750,0.002154,1239
45,Dungog,D3,66,201,122,19600,0.000291,188
46,Gloucester,D3,46,166,104,13650,0.000154,150
47,Greatlakes,D3,419,884,628,58850,0.000583,1047
48,Lakemacquarie,D3,2315,3969,2520,472150,0.024575,4835
49,Maitland,D3,508,907,494,134150,0.01142,1002
50,Merriwa,D3,48,134,109,7200,6.80E-05,157
51,Murrurundi,D3,34,108,54,7050,9.50E-05,88
52,Muswellbrook,D3,261,476,374,44100,0.000428,635
53,Newcastle,D3,3314,5581,3209,403500,0.068973,6523
54,Portstephens,D3,558,963,785,106150,0.00413,1343
55,Scone,D3,86,264,168,27900,0.000232,254
56,Singleton,D3,308,947,528,50800,0.000345,836
57,Kiama,D4,255,444,293,40100,0.005163,548
58,Shellharbour,D4,467,878,608,134850,0.030569,1075
59,Shoalhaven,D4,822,2069,1484,167700,0.001224,2306
60,Wingecarribee,D4,514,1335,966,83500,0.001033,1480
61,Wollongong,D4,3047,5423,3540,522250,0.025576,6587
62,Ballina,D5,298,686,531,69500,0.004728,829
63,Byron,D5,220,590,464,52650,0.003088,684
64,Casino,D5,182,208,161,32050,0.011675,343
65,Kyogle,D5,61,285,198,28050,0.000261,259
66,Lismore,D5,411,1046,759,110650,0.002852,1170
67,Richmondriver,D5,111,340,257,22350,0.000296,368
68,Tweed,D5,381,1196,812,130100,0.003318,1193
69,Bellingen,D6,198,428,307,30000,0.000627,505
70,Coffsharbour,D6,552,1192,923,122750,0.004259,1475
71,Copmanhurst,D6,28,104,110,11500,0.000122,138
72,Grafton,D6,278,416,320,49650,0.020117,598
73,Greatertaree,D6,703,1208,940,106400,0.000949,1643
74,Hastings,D6,535,1245,977,119600,0.001063,1512
75,Kempsey,D6,407,638,525,67200,0.000675,932
76,Maclean,D6,138,351,280,32600,0.00104,418
77,Nambucca,D6,193,425,367,41500,0.000925,560
78,Nymboida,D6,27,132,84,8450,5.50E-05,111
79,Ulmarra,D6,88,350,268,13600,0.00027,356
80,Armidale,D7,318,578,396,60800,0.059329,714
81,Barraba,D7,11,65,46,8300,9.00E-05,57
82,Bingara,D7,8,71,38,6900,8.20E-05,46
83,Dumaresq,D7,38,163,120,11050,8.70E-05,158
84,Gleninnes,D7,53,118,69,18450,0.009015,122
85,Gunnedah,D7,88,364,257,40200,0.000266,345
86,Guyra,D7,49,232,149,14300,0.000108,198
87,Inverell,D7,99,386,276,48000,0.000187,375
88,Manilla,D7,12,65,43,9850,0.000148,55
89,Moreeplains,D7,123,548,402,50900,9.50E-05,525
90,Narrabri,D7,125,486,370,47300,0.00012,495
