housing_median_age,total_rooms,median_income,total_bedrooms,Make,population,households,GenderMainOwner,median_house_value,Exposure ,Indicator
41,880,129,322,FIAT,126,8.3252,Male,452600,1,0
21,7099,1106,2401,FORD,1138,8.3014,Male,358500,1,0
52,1467,190,496,MAZDA,177,7.2574,Male,352100,1,0
52,1274,235,558,PEUGEOT,219,5.6431,Female,341300,1,0
52,1627,280,565,VOLVO,259,3.8462,Female,342200,1,0
52,919,213,413,FORD,193,4.0368,Female,269700,1,0
52,2535,489,1094,HYUNDAI,514,3.6591,Female,299200,1,0
52,3104,687,1157,PEUGEOT,647,3.12,Female,241400,1,0
42,2555,665,1206,CITROEN,595,2.0804,Female,226700,1,0
52,3549,707,1551,FORD,714,3.6912,Female,261100,1,0
52,2202,434,910,LANDROVER,402,3.2031,Male,281500,1,0
52,3503,752,1504,SUBARU,734,3.2705,Male,241800,1,0
52,2491,474,1098,FIAT,468,3.075,Female,213500,1,0
52,696,191,345,MAZDA,174,2.6736,Male,191300,1,0
52,2643,626,1212,VOLVO,620,1.9167,Female,159200,1,1
50,1120,283,697,FIAT,264,2.125,Female,140000,1,1
52,1966,347,793,MG,331,2.775,Female,152500,1,1
52,1228,293,648,ROVER,303,2.1202,Male,155500,1,1
50,2239,455,990,VOLVO,419,1.9911,Male,158700,1,1
52,1503,298,690,HYUNDAI,275,2.6033,Male,162900,1,1
40,751,184,409,VAUXHALL,166,1.3578,Male,147500,1,1
42,1639,367,929,Unknown,366,1.7135,Male,159800,1,1
52,2436,541,1015,HONDA,478,1.725,Female,113900,1,1
52,1688,337,853,MERCEDES,325,2.1806,Male,99700,1,1
52,2224,437,1006,VOLVO,422,2.6,Female,132600,1,1
41,535,123,317,HONDA,119,2.4038,Male,107500,1,1
49,1130,244,607,LOTUS,239,2.4597,Male,93800,1,1
52,1898,421,1102,PEUGEOT,397,1.808,Male,105500,1,1
50,2082,492,1131,VAUXHALL,473,1.6424,Male,108900,1,1
52,729,160,395,FIAT,155,1.6875,Male,132000,1,1
49,1916,447,863,FORD,378,1.9274,Female,122300,1,1
52,2153,481,1168,ROVER,441,1.9615,Male,115200,1,1
48,1922,409,1026,SUZUKI,335,1.7969,Male,110400,1,1
49,1655,366,754,FORD,329,1.375,Female,104900,1,1
51,2665,574,1258,LANDROVER,536,2.7303,Female,109700,1,1
49,1215,282,570,SKODA,264,1.4861,Male,97200,1,1
48,1798,432,987,VOLVO,374,1.0972,Female,104500,1,1
52,1511,390,901,MAZDA,403,1.4103,Female,103900,1,1
52,1470,330,689,SUZUKI,309,3.48,Male,191400,1,0
52,2432,715,1377,JAGUAR,696,2.5898,Female,176000,1,1
52,1665,419,946,VOLVO,395,2.0978,Female,155400,1,1
51,936,311,517,Unknown,249,1.2852,Female,150000,1,1
49,713,202,462,FIAT,189,1.025,Male,118800,1,1
52,950,202,467,FORD,198,3.9643,Male,188800,1,0
52,1443,311,660,BMW,292,3.0125,Male,184400,1,0
52,1656,420,718,FIAT,382,2.6768,Male,182300,1,0
50,1125,322,616,FORD,304,2.026,Female,142500,1,1
43,1007,312,558,VAUXHALL,253,1.7348,Male,137500,1,1
40,624,195,423,FORD,160,0.9506,Male,187500,1,0
40,946,375,700,JAGUAR,352,1.775,Female,112500,1,1
21,896,453,735,MG,438,0.9218,Female,171900,1,1
43,1868,456,1061,RENAULT,407,1.5045,Male,93800,1,1
41,3221,853,1959,AUSTIN,720,1.1108,Male,97500,1,1
52,1630,456,1162,FIAT,400,1.2475,Male,104200,1,1
52,1170,235,701,PORSCHE,233,1.6098,Male,87500,1,1
52,945,243,576,FIAT,220,1.4113,Male,83100,1,1
52,1238,288,622,FORD,259,1.5057,Male,87500,1,1
52,1489,335,728,MG,244,0.8172,Male,85300,1,1
52,1387,341,1074,ROVER,304,1.2171,Female,80300,1,1
2,158,43,94,FIAT,57,2.5625,Male,60000,1,1
52,1121,211,554,Unknown,187,3.3929,Male,75700,1,1
49,135,29,86,CITROEN,23,6.1183,Male,75000,1,1
50,760,190,377,FORD,122,0.9011,Male,86100,1,1
52,1224,237,521,NISSAN,159,1.191,Male,76100,1,1
48,828,182,392,SKODA,133,2.5938,Male,73500,1,1
52,1010,209,604,VAUXHALL,187,1.1667,Female,78400,1,1
48,1455,354,788,Unknown,332,0.8056,Male,84400,1,1
52,1027,244,492,FIAT,147,2.6094,Male,81300,1,1
52,572,109,274,FORD,82,1.8516,Male,85000,1,1
46,2801,644,1823,LANDROVER,611,0.9802,Female,129200,1,1
26,768,152,392,PEUGEOT,127,1.7719,Male,82500,1,1
46,935,297,582,ROVER,277,0.7286,Male,95200,1,1
49,844,204,560,BMW,152,1.75,Female,75000,1,1
46,12,4,18,FORD,7,0.4999,Male,67500,1,1
20,835,161,290,FORD,133,2.483,Male,137500,1,1
17,1237,462,762,LANDROVER,439,0.9241,Female,177500,1,1
36,2914,562,1236,PROTON,509,2.4464,Female,102100,1,1
19,1207,243,721,BMW,207,1.1111,Male,108300,1,1
23,1745,374,1054,DAEWOO,325,0.8026,Female,112500,1,1
38,684,176,344,FORD,155,2.0114,Male,131300,1,1
17,924,289,609,FORD,289,1.5,Male,162500,1,1
52,210,56,183,HYUNDAI,56,1.1667,Male,112500,1,1
52,340,97,200,LANDROVER,87,1.5208,Female,112500,1,1
52,386,164,346,PROTON,155,0.8075,Male,137500,1,1
35,948,184,467,VAUXHALL,169,1.8088,Male,118800,1,1
52,773,143,377,FORD,115,2.4083,Male,98200,1,1
40,880,451,582,FORD,380,0.977,Female,118800,1,1
10,875,348,546,MERCEDES,330,0.76,Male,162500,1,1
10,105,42,125,ROVER,39,0.9722,Male,137500,1,1
52,249,78,396,VAUXHALL,85,1.2434,Female,500001,1,0
16,994,392,800,DAEWOO,362,2.0938,Male,162500,1,1
52,215,87,904,FORD,88,0.8668,Male,137500,1,1
52,96,31,191,MAZDA,34,0.75,Female,162500,1,1
27,1055,347,718,SKODA,302,2.6354,Female,187500,1,0
39,1715,623,1327,PROTON,467,1.8477,Male,179200,1,1
36,5329,2477,3469,FIAT,2323,2.0096,Male,130000,1,1
31,4596,1331,2048,FORD,1180,2.8345,Female,183800,1,0
29,335,107,202,HONDA,91,2.0062,Female,125000,1,1
22,3682,1270,2024,MG,1250,1.2185,Male,170000,1,1
37,3633,1085,1838,Unknown,980,2.6104,Male,193100,1,0
29,4656,1414,2304,FORD,1250,2.4912,Female,257800,1,0
28,5806,1603,2563,ROVER,1497,3.2177,Female,273400,1,0
39,854,242,389,Unknown,228,3.125,Male,237500,1,0
52,2155,701,895,FORD,613,2.5795,Female,350000,1,0
34,5871,1914,2689,HYUNDAI,1789,2.8406,Male,335700,1,0
52,1509,225,674,FIAT,244,4.9306,Male,313400,1,0
52,2026,482,709,HYUNDAI,456,3.2727,Female,268500,1,0
52,1758,460,686,VAUXHALL,422,3.1691,Male,259400,1,0
52,3481,751,1444,FIAT,718,3.9,Male,275700,1,0
28,3337,855,1520,HONDA,802,3.9063,Male,225000,1,0
52,1424,289,550,PEUGEOT,253,5.0917,Female,262500,1,0
32,3809,1098,1806,VOLVO,1022,2.6429,Female,218500,1,0
26,3959,1196,1749,OTHER,1217,3.0233,Female,255000,1,0
52,2376,559,939,HYUNDAI,519,3.1484,Female,224100,1,0
35,1613,428,675,OTHER,422,3.4722,Female,243100,1,0
52,1279,287,534,OTHER,291,3.1429,Female,231600,1,0
28,5022,1750,2558,Unknown,1661,2.4234,Female,218500,1,0
52,4190,1105,1786,FORD,1037,3.0897,Female,234100,1,0
50,2515,399,970,ROVER,373,5.8596,Female,327600,1,0
47,3175,454,1098,Unknown,485,5.2868,Female,347600,1,0
41,2576,406,794,HYUNDAI,376,5.956,Female,366100,1,0
37,334,54,98,VAUXHALL,47,4.9643,Female,335000,1,0
52,2800,411,1061,FORD,403,6.3434,Male,373600,1,0
52,3529,574,1177,RENAULT,555,5.1773,Male,389500,1,0
52,2612,365,901,VAUXHALL,367,7.2354,Female,391100,1,0
28,5287,1048,2031,BMW,956,5.457,Male,337300,1,0
50,2935,473,1031,FORD,479,7.5,Male,295200,1,0
44,3424,597,1358,MAZDA,597,6.0194,Male,292300,1,0
40,4991,674,1616,ROVER,654,7.5544,Male,411500,1,0
30,2211,346,844,BMW,343,6.0666,Male,311500,1,0
34,3038,490,1140,FORD,496,7.0548,Male,325900,1,0
18,1617,210,533,SEAT,194,11.6017,Female,392600,1,0
35,2865,460,1072,VOLKSWAGEN,443,7.4882,Male,319300,1,0
34,5065,788,1627,FORD,766,6.8976,Male,333300,1,0
28,1326,184,463,FORD,190,8.2049,Male,335200,1,0
26,1589,223,542,FORD,211,8.401,Male,351200,1,0
29,1791,271,661,RENAULT,269,6.8538,Female,368900,1,0
32,1835,264,635,AUSTIN,263,8.317,Male,365900,1,0
37,1229,181,420,FORD,176,7.0175,Female,366700,1,0
39,3770,534,1265,VOLVO,500,6.3302,Female,362800,1,0
30,292,38,126,HONDA,52,6.3624,Male,483300,1,0
52,2375,333,813,JAGUAR,350,7.0549,Male,331400,1,0
45,2964,436,1067,VAUXHALL,426,6.7851,Female,323500,1,0
50,2833,605,1260,FIAT,552,2.8929,Female,216700,1,0
38,2254,535,951,HYUNDAI,487,3.0812,Male,233100,1,0
52,1389,212,510,RENAULT,224,5.2402,Female,296400,1,0
52,1971,335,765,VOLKSWAGEN,308,6.5217,Female,273700,1,0
52,2183,465,1129,FORD,460,3.2632,Female,227700,1,0
52,2286,464,1073,HYUNDAI,441,3.0298,Female,199600,1,0
52,2721,541,1185,PORSCHE,515,4.5428,Female,239800,1,0
52,2024,339,756,ROVER,340,4.072,Female,270100,1,0
52,2944,536,1034,DAEWOO,521,5.3509,Male,302100,1,0
52,2033,486,787,RENAULT,459,3.1603,Female,269500,1,0
52,1433,229,612,VAUXHALL,213,4.7708,Female,314700,1,0
52,2927,402,1021,FORD,380,8.1564,Male,390100,1,0
52,2315,292,861,MERCEDES,258,8.8793,Male,410300,1,0
52,2485,313,953,HYUNDAI,327,6.8591,Female,352400,1,0
52,1490,238,634,FORD,256,6.0302,Male,287300,1,0
52,2814,365,878,NISSAN,352,7.508,Female,348700,1,0
52,2093,550,918,FORD,483,2.7477,Male,243800,1,0
52,888,168,360,MERCEDES,175,2.1944,Male,211500,1,0
52,2087,510,1197,RENAULT,488,3.0149,Female,218400,1,0
52,2513,502,1048,FORD,518,3.675,Male,269900,1,0
46,3232,835,1373,BMW,747,3.225,Male,218800,1,0
42,4120,1065,1715,MG,1015,2.9345,Female,225000,1,0
43,2364,792,1359,BMW,722,2.1429,Male,250000,1,0
41,1471,469,1062,BMW,413,1.6121,Male,171400,1,1
29,2468,864,1335,HYUNDAI,773,1.3929,Female,193800,1,0
27,1632,492,1171,MAZDA,429,2.3173,Male,125000,1,1
45,1786,526,1475,Unknown,460,1.7772,Male,97500,1,1
50,629,188,742,FIAT,196,2.6458,Female,125000,1,1
52,1339,391,1086,HYUNDAI,363,2.181,Male,138800,1,1
36,1678,606,1645,JAGUAR,543,2.2303,Male,116700,1,1
43,2344,647,1710,AUDI,644,1.6504,Male,151800,1,1
52,996,228,731,FIAT,228,2.2697,Female,127000,1,1
52,1591,373,1118,HYUNDAI,347,2.1563,Male,128600,1,1
52,1586,398,1006,ROVER,335,2.1348,Male,140600,1,1
47,2046,588,1213,Unknown,554,2.6292,Male,182700,1,0
52,1192,289,772,FORD,257,2.3833,Male,146900,1,1
52,1803,420,1321,LEXUS,401,2.957,Female,122800,1,1
49,2838,749,1487,ROVER,677,2.5238,Female,169300,1,1
52,783,184,488,VAUXHALL,186,1.9375,Male,126600,1,1
51,1590,414,949,FIAT,392,1.9028,Female,127900,1,1
50,1746,480,1149,FORD,415,2.25,Female,123500,1,1
52,1252,299,844,SKODA,280,2.3929,Male,111900,1,1
43,5963,1344,4367,VAUXHALL,1231,2.1917,Male,112800,1,1
52,1783,395,1659,FORD,412,2.9357,Female,107900,1,1
30,999,264,1011,DAEWOO,263,1.8854,Female,137500,1,1
39,1469,431,1464,FORD,389,2.1638,Female,105500,1,1
47,1372,395,1237,VAUXHALL,303,2.125,Female,95500,1,1
52,674,180,647,FIAT,168,3.375,Male,116100,1,1
43,1626,376,1284,FIAT,357,2.2542,Male,112200,1,1
51,175,43,228,HONDA,55,2.1,Male,75000,1,1
39,461,129,381,FORD,123,1.6,Female,112500,1,1
52,902,237,846,VAUXHALL,227,3.625,Female,125000,1,1
20,2373,779,1659,MERCEDES,676,1.6929,Male,115000,1,1
52,391,128,520,BMW,138,1.6471,Male,95000,1,1
52,1137,301,866,FORD,259,2.59,Male,96400,1,1
52,769,206,612,RENAULT,183,2.57,Female,72000,1,1
52,472,146,415,VAUXHALL,126,2.6429,Male,71300,1,1
52,862,215,994,FIAT,213,3.0257,Male,80800,1,1
50,1920,530,1525,FORD,477,1.4886,Female,128800,1,1
43,1420,472,1506,OTHER,438,1.9338,Female,112500,1,1
52,986,258,1008,VAUXHALL,255,1.4844,Male,119400,1,1
44,2340,825,2813,FORD,751,1.6009,Male,118100,1,1
48,1696,396,1481,Unknown,343,2.0375,Male,122500,1,1
49,1175,217,859,FORD,219,2.293,Male,106300,1,1
37,2343,574,1608,TVR,523,2.1494,Male,132500,1,1
30,610,145,425,FIAT,140,1.6198,Male,122700,1,1
40,930,199,564,Unknown,184,1.3281,Male,113300,1,1
44,1487,314,961,HONDA,272,3.5156,Male,109500,1,1
52,3424,690,2273,FIAT,685,3.9048,Female,164700,1,1
52,762,190,600,NISSAN,195,3.0893,Female,125000,1,1
46,2366,575,1647,VAUXHALL,527,2.6042,Male,124700,1,1
49,1826,450,1201,FORD,424,2.5,Male,136700,1,1
38,3049,711,2167,MAZDA,659,2.7969,Male,141700,1,1
29,1640,376,939,ROVER,340,2.8321,Female,150000,1,1
47,1543,307,859,VOLKSWAGEN,292,2.9583,Male,138800,1,1
34,2364,557,1517,MAZDA,516,2.8365,Female,139200,1,1
35,1745,409,1143,Unknown,386,2.875,Female,143800,1,1
39,2003,500,1109,FORD,464,3.0682,Male,156500,1,1
39,2018,447,1221,RENAULT,446,3.0757,Female,151000,1,1
43,3045,499,1115,BMW,455,4.9559,Male,273000,1,0
52,1547,293,706,HONDA,268,4.7721,Female,217100,1,0
52,3519,711,1883,OTHER,706,3.4861,Male,187100,1,0
41,2070,354,804,FORD,340,5.1184,Female,239600,1,0
48,1321,263,506,ROVER,252,4.0977,Female,229700,1,0
48,1694,259,610,CITROEN,238,4.744,Male,257300,1,0
46,1938,341,768,Unknown,332,4.2727,Male,246900,1,0
50,968,195,462,TVR,184,2.9844,Female,179900,1,0
40,1060,256,667,FORD,235,4.1739,Male,169600,1,1
46,2041,405,1059,PEUGEOT,399,3.8487,Male,203300,1,0
52,1813,271,637,SAAB,277,4.0114,Male,263400,1,0
45,2718,451,1106,FORD,454,4.6563,Male,231800,1,0
28,3144,761,1737,HYUNDAI,669,2.9297,Male,140500,1,1
35,1802,459,1009,TOYOTA,390,2.3036,Female,126000,1,1
49,882,195,737,CITROEN,210,2.6667,Female,122000,1,1
44,1621,452,1354,MERCEDES,491,2.619,Male,134700,1,1
45,2115,533,1530,ALFA ROMEO,474,2.4167,Female,139400,1,1
45,2021,528,1410,FORD,480,2.7788,Female,115400,1,1
46,2239,508,1390,VOLKSWAGEN,569,2.7352,Female,137300,1,1
52,1477,300,1065,ROVER,269,1.8472,Male,137000,1,1
52,1056,224,792,FIAT,245,2.6583,Female,142600,1,1
49,898,244,779,FIAT,245,3.0536,Male,137500,1,1
44,2968,710,2269,FORD,610,2.3906,Male,111700,1,1
43,1702,460,1227,OTHER,407,1.7188,Male,126800,1,1
47,881,248,753,ROVER,241,2.625,Female,111300,1,1
40,494,114,547,FIAT,135,2.8015,Male,114800,1,1
50,1776,473,1807,HONDA,440,1.7276,Female,102300,1,1
44,1678,514,1700,MG,495,2.0801,Female,131900,1,1
