GenderMainDriver,MaritalMainDriver,Claim
Male,Single,0
Male,Married,0
Male,Single,0
Female,Single,0
Female,Married,0
Female,Married,0
Female,Married,0
Female,Single,1
Female,Married,0
Female,Married,0
Male,Married,0
Male,Married,0
Female,Single,0
Male,Married,0
Female,Married,0
Female,Married,0
Female,Married,0
Male,Single,1
Male,Married,0
Male,Married,0
Male,Married,0
Male,Single,0
Female,Married,0
Male,Single,0
Female,Married,0
Male,Married,0
Male,Married,0
Male,Married,0
Male,Married,0
Male,Married,0
Female,Married,0
Male,Married,0
Male,Married,0
Female,Married,0
Female,Married,0
Male,Single,0
Female,Married,0
Female,Married,0
Male,Married,0
Female,Married,0
Female,Married,0
Female,Married,0
Male,Married,0
Male,Married,0
Male,Married,0
Male,Single,0
Female,Married,0
Male,Married,0
Male,Single,0
Female,Single,0
Female,Married,0
Male,Married,0
Male,Married,0
Male,Married,0
Male,Single,0
Male,Married,0
Male,Married,0
Male,Married,0
Female,Married,0
Male,Married,0
Male,Married,0
Male,Single,0
Male,Married,0
Male,Married,1
Male,Married,0
Female,Other,0
Male,Married,0
Male,Married,0
Male,Married,0
Female,Married,0
Male,Married,0
Male,Single,0
Female,Married,0
Male,Married,1
Male,Married,0
Female,Married,0
Female,Married,0
Male,Married,0
Female,Single,0
Male,Single,0
Male,Married,0
Male,Married,0
Female,Married,0
Male,Single,0
Male,Single,0
Male,Married,0
Female,Other,0
Male,Single,0
Male,Single,0
Female,Married,0
Male,Married,0
Male,Married,0
Female,Married,0
Female,Single,0
Male,Married,0
Male,Married,0
Female,Married,0
Female,Married,0
Male,Single,0
Male,Married,0
Female,Single,0
Female,Single,0
Male,Married,0
Female,Married,0
Male,Single,0
Male,Single,0
Female,Single,0
Male,Other,0
Male,Married,0
Male,Married,0
Female,Partnership,0
Female,Single,0
Female,Married,0
Female,Single,0
Female,Married,0
Female,Married,0
Female,Married,0
Female,Married,0
Female,Other,0
Female,Married,0
Female,Single,0
Female,Single,0
Male,Married,0
Male,Married,0
Female,Single,0
Male,Married,0
