GenderMainDriver,MaritalMainDriver,Claim
Female,Married,182.06
Male,Married,120.13
Male,Married,354.94
Male,Married,283.03
Female,Partnership,441.02
Female,Single,922.2
Female,Married,110.55
Male,Married,442.23
Male,Married,50.81
Female,Single,50
Male,Married,9899.951933
Male,Married,81.65
Male,Married,50
Male,Single,449.05
Female,Single,118.51
Male,Married,1694.84
Male,Married,192.25
Female,Married,50
Male,Married,1359.13
Male,Married,50
Male,Married,50
Male,Single,50
Male,Single,234.34
Female,Married,389.51
Female,Married,1901.46
Male,Single,3291.99
Female,Married,3230.37
Female,Married,50.22
Male,Single,50
Male,Married,50
Male,Married,1136.96
Male,Married,1130.38
Male,Married,1389.64
Male,Married,1690.42
Female,Married,546.05
Male,Single,5611.61
Male,Single,1254.78
Male,Married,1568.73
Male,Married,1207.07
Female,Married,454.9
Male,Married,408.34
Male,Married,52.02
Male,Single,1296.22
Male,Other,227.02
Male,Married,11844.13
Male,Single,376.06
Male,Married,685.29
Male,Married,1131.76
Male,Married,553.77
Male,Married,577.29
Male,Single,1888.77
Male,Married,1033.58
Male,Single,934.51
Female,Married,509.94
Male,Married,824.75
Male,Married,1708.35
Male,Married,605.05
Male,Single,352.96
Female,Married,2042.4
Female,Married,484.91
Male,Married,422.68
Female,Single,1412.78
Female,Single,570.79
Male,Married,869.2
Female,Married,333.86
Male,Single,50.04
Female,Single,574.69
Female,Married,254.1
Female,Married,50
Female,Married,712.59
Male,Single,617.37
Male,Single,676.88
Female,Married,622.34
Female,Married,546.69
Male,Married,651.67
Male,Married,703.8
Male,Single,390.76
Female,Married,287.24
Male,Married,1120.31
Female,Single,50.04
Female,Married,641.16
Female,Married,1045.25
Male,Married,360.51
Female,Single,888.91
Male,Single,126.56
Female,Single,323.12
Male,Married,931.52
Male,Married,729.87
Female,Other,342.99
Male,Married,720.77
Female,Single,472.69
Male,Married,300.79
Female,Married,748.68
Female,Married,579.08
Female,Married,1176.64
Male,Married,140.48
Female,Married,258.63
Female,Married,1057.05
Female,Married,631.57
Female,Married,141.44
Female,Married,1175.84
Female,Married,719.45
Male,Married,733.45
Female,Married,451.83
Male,Single,633.32
Male,Single,1236.57
Female,Other,551.9
Female,Married,1617.29
Male,Married,715.59
Female,Single,696.01
Female,Married,669.25
Female,Married,1963.45
Male,Other,2805.11
Male,Married,1219.37
Male,Married,510.79
Male,Single,789.33
Male,Single,365.61
Male,Married,925.94
Male,Single,1011.87
Female,Married,50
Female,Single,348.52
Female,Married,391.08
Male,Single,1053.63
Female,Married,61.46
Male,Married,892.56
Male,Married,1260.69
Male,Married,152.07
Male,Married,115.77
Female,Married,510.69
Male,Married,952.93
Male,Married,858.95
Female,Married,50
Male,Married,819.81
Male,Married,623.94
Female,Single,494.94
Male,Married,50.49
Male,Single,279.92
Male,Married,828.21
Female,Married,50.01
Male,Married,711.99
Female,Married,746.8
Male,Married,329.73
Male,Married,470.63
Female,Single,420.47
Male,Married,189.4
Female,Married,541.61
Female,Single,896.02
Female,Married,353.39
Female,Married,898.56
Female,Married,493.47
Female,Single,316.52
Male,Married,1300.24
Male,Single,557.81
Female,Married,918.66
Female,Married,111.23
Male,Other,2288.16
Male,Married,729.03
Male,Married,159.86
Female,Married,404.67
Male,Single,623.85
Female,Married,825.81
Male,Married,503.93
Male,Married,1468.77
Male,Married,599.78
Male,Single,1118.19
Male,Single,1315.33
Female,Married,566.35
Female,Single,1207.43
Male,Married,461.22
Female,Single,382.55
Male,Married,595.36
Male,Married,825.78
Male,Other,437.41
Male,Married,1430.49
Male,Married,543.45
Female,Married,791.89
Female,Married,772.07
Male,Married,266.83
Female,Single,81.48
Female,Married,157.2
Male,Single,845.23
Female,Married,542.55
Male,Married,493.13
Female,Single,802.32
Male,Married,729.02
Male,Married,565.15
Male,Married,1132.27
Male,Married,541.39
Male,Married,680.32
Male,Married,939.1
Male,Single,683.76
Male,Married,992.22
Male,Other,53.16
Male,Married,1913.8
Female,Single,521.58
Female,Married,878.5
Male,Single,584.72
Male,Married,510.65
Male,Married,540.9
Female,Single,2797.34
Male,Other,932.64
Male,Single,1060.86
Male,Single,859.95
Male,Married,1851.34
Female,Married,598.08
Female,Married,163.16
Female,Single,315.46
Male,Married,813.61
Male,Other,1463.5
Male,Single,740.8
Male,Married,779.58
Male,Single,279.87
Female,Single,660.72
Male,Married,1089.38
Male,Married,462.76
Female,Married,554.83
Male,Married,66.23
Male,Married,1048.91
Male,Married,55.98
Female,Married,428.09
Male,Single,1545.95
Female,Married,1292.95
Male,Married,1318.93
Female,Single,721.6
Male,Married,1503.37
Male,Married,984
Female,Married,593.47
Female,Married,528.58
Female,Married,305.11
Male,Single,657.94
Female,Married,748.2
Female,Married,437.45
Female,Married,651.83
Male,Married,579.23
Female,Married,84.32
Female,Married,947.05
Male,Single,1311.21
Female,Married,725.63
Female,Married,869.67
Female,Married,582.7
Male,Married,425.41
Female,Married,413.81
Female,Married,294.87
Male,Married,819.11
Male,Married,2488.35
Female,Married,50
Male,Married,7139.02
Female,Married,620.04
Female,Married,1096.01
Male,Married,1506.35
Female,Single,343.02
Female,Married,945.35
Female,Married,1211.74
Male,Married,4205.73
Male,Married,2594.46
Female,Single,272.18
Female,Married,467.81
Female,Married,281.55
